United States .................................................................................,"11,097"
.................................................................................,
New England.................................................................................,"11,793"
Connecticut.................................................................................,"10,456"
Maine.................................................................................,"10,191"
Massachusetts.................................................................................,"13,061"
New Hampshire.................................................................................,"9,477"
Rhode Island.................................................................................,"11,964"
Vermont.................................................................................,"13,678"
.................................................................................,
Mideast.................................................................................,"13,395"
Delaware.................................................................................,"12,638"
District of Columbia.................................................................................,"25,061"
Maryland.................................................................................,"11,714"
New Jersey.................................................................................,"11,267"
New York.................................................................................,"15,899"
Pennsylvania.................................................................................,"11,346"
.................................................................................,
Great Lakes.................................................................................,"10,297"
Illinois.................................................................................,"10,991"
Indiana.................................................................................,"9,809"
Michigan.................................................................................,"9,750"
Ohio.................................................................................,"10,275"
Wisconsin.................................................................................,"10,340"
.................................................................................,
Plains.................................................................................,"10,738"
Iowa.................................................................................,"11,477"
Kansas.................................................................................,"10,694"
Minnesota.................................................................................,"12,010"
Missouri.................................................................................,"8,970"
Nebraska.................................................................................,"10,784"
North Dakota.................................................................................,"13,689"
South Dakota.................................................................................,"9,656"
.................................................................................,
Southeast.................................................................................,"9,192"
Alabama.................................................................................,"9,366"
Arkansas.................................................................................,"9,049"
Florida.................................................................................,"8,816"
Georgia.................................................................................,"7,971"
Kentucky.................................................................................,"10,203"
Louisiana.................................................................................,"10,626"
Mississippi.................................................................................,"9,571"
North Carolina.................................................................................,"9,294"
South Carolina.................................................................................,"9,587"
Tennessee.................................................................................,"8,062"
Virginia.................................................................................,"10,501"
West Virginia.................................................................................,"10,313"
.................................................................................,
Southwest.................................................................................,"9,484"
Arizona.................................................................................,"8,716"
New Mexico.................................................................................,"12,505"
Oklahoma.................................................................................,"8,571"
Texas.................................................................................,"9,579"
.................................................................................,
Rocky Mountain.................................................................................,"10,678"
Colorado.................................................................................,"11,096"
Idaho.................................................................................,"8,067"
Montana.................................................................................,"9,981"
Utah.................................................................................,"10,539"
Wyoming.................................................................................,"17,193"
.................................................................................,
Far West [2].................................................................................,"13,883"
California.................................................................................,"14,755"
Nevada.................................................................................,"8,284"
Oregon.................................................................................,"13,497"
Washington.................................................................................,"11,964"
.................................................................................,
Alaska.................................................................................,"18,719"
Hawaii.................................................................................,"12,307"